时间,水深(mm),雨量(mm)
2019/9/3 7:26,0,0
2019/9/3 8:26,0,0
2019/9/3 9:06,0,0.2
2019/9/3 9:26,0,0
2019/9/3 10:26,0,0
2019/9/3 11:26,0,0
2019/9/3 12:26,0,0
2019/9/3 13:26,0,0
2019/9/3 14:26,0,0
2019/9/3 15:26,0,0
2019/9/3 16:26,0,0
2019/9/3 17:26,0,0
2019/9/3 18:26,0,0
2019/9/3 19:26,0,0
2019/9/3 20:26,0,0
2019/9/3 21:26,0,0
2019/9/3 22:26,0,0
2019/9/3 23:26,0,0
2019/9/4 0:26,0,0
2019/9/4 1:26,0,0
2019/9/4 2:26,0,0
2019/9/4 3:26,0,0
2019/9/4 4:26,0,0
2019/9/4 5:26,0,0
2019/9/4 6:26,0,0
2019/9/4 7:26,0,0
2019/9/4 8:26,0,0
2019/9/4 9:26,0,0
2019/9/4 10:01,0,0.2
2019/9/4 10:11,0,0.2
2019/9/4 10:16,0,0.2
2019/9/4 10:26,0,0
2019/9/4 10:31,0,0.2
2019/9/4 11:26,0,0
2019/9/4 11:46,0,0.2
2019/9/4 12:11,0,0.2
2019/9/4 12:26,0,0
2019/9/4 13:26,0,0
2019/9/4 13:36,0,0.4
2019/9/4 13:41,0,0.2
2019/9/4 14:01,0,0.2
2019/9/4 14:11,0,0.6
2019/9/4 14:16,0,1
2019/9/4 14:21,0,1
2019/9/4 14:26,0,2
2019/9/4 14:36,0,0.6
2019/9/4 15:26,0,0
2019/9/4 15:46,0,0.8
2019/9/4 15:51,0,1.2
2019/9/4 15:56,0,1.2
2019/9/4 16:01,0,1.6
2019/9/4 16:06,0,1
2019/9/4 16:11,0,0.6
2019/9/4 16:16,0,4
2019/9/4 16:21,10,3.6
2019/9/4 16:26,10,2.2
2019/9/4 16:31,10,0.4
2019/9/4 16:36,10,1
2019/9/4 16:41,10,0
2019/9/4 16:46,10,0
2019/9/4 16:51,10,0
2019/9/4 17:16,0,0.2
2019/9/4 17:21,0,0.2
2019/9/4 17:26,0,0
2019/9/4 18:26,0,0
2019/9/4 19:01,10,0
2019/9/4 19:26,0,0
2019/9/4 19:36,10,0
2019/9/4 20:06,10,0
2019/9/4 20:26,10,0
2019/9/4 20:41,10,0
2019/9/4 20:51,10,0
2019/9/4 21:01,10,0
